,text,href
0,"— Молодой человек, передайте за проезд, пожалуйста, — сказала мне женщина с маленьким ребенком на руках, протягивая три монетки. 
— Что? – переспросил я, не особо понимая, что происходит. 
— Деньги, молодой... ах, ладно. Женщина! Возьмите вот еще! 
Мать вытянула руку подальше и вручила деньги кондуктору. Та оценивающе посмотрела на нее и на ребенка, затем сказала: 
— Мальчику сколько лет? 
— Четыре. Да, Игорек? – обратилась мама, улыбаясь. Мальчик кивнул. 
Кондукторша оторвала от ленты два билета и повернулась ко мне. 
— Платите, молодой человек. 
— Сколько? – спросил я, подняв глаза на эту полную женщину. 
— Пятнадцать, — ответил мне голос откуда-то справа. Я повернул голову. 
Там сидел парень, примерно мне ровесник, лет двадцати трех или двадцати пяти в темных очках, с длинной челкой, зачесанной набок, в длинных джинсах, широкой спортивной куртке, в которую могла бы вся Земля влезть, и кепке. Вид такой, прямо сказать, гопнический. Он закурил. Я ожидал, что ему скажут привычное: «В общественном транспорте не курят! Вы не видите, здесь ребенок!», — но ничего не последовало. 
— Пятнадцать? – переспросил я. 
Парень выпустил колечко дыма и кивнул головой. 
— Ага. 
Я полез в карман. Нащупав там всего две монетки, я искренне надеялся, чтобы они были по десять и пять рублей, но увы: десять и два. 
— У меня... у меня только двенадцать. 
Кондукторша возмущенно посмотрела на меня. 
— Как это только двенадцать? Куда Вы дели еще три? Ищите! Ищите, а то билет не дам! Придет контролер и ссадит Вас, не будет Вам покоя!.. 
— Тише, тише, мать, — произнес мой сосед, залезая в карман своей необъятной куртки и доставая оттуда заветных три рубля. – Держи. Считай, что он сам расплатился. 
Она, сощурившись, грозно глянула на попутчика, но затем успокоилась и пошла дальше по салону автобуса. Парень протянул мне руку. 
— Иннокентий, — сказал он, шмыгнув носом. 
Я чуть поморщился, но ответил на его рукопожатие. 
— Саша. 
— Санька, значит... – произнес он. – Ну будем знакомы. 
— Да... 
В воздухе повисла неловкая пауза. Надо сказать, я вообще не сторонник случайных знакомств, тем более с такими «слишком выбивающимися» людьми. 
— А что с тобой случилось? – вдруг спросил он. 
— Со мной? Случилось? Ничего со мной не случилось. 
— Ну!.. – взвыл он. – Не происходило ли с тобой сегодня что-то странное? Не падал, там... иголки не глотал?.. 
— Все в порядке? – справился я. Он не в своем уме? 
— Да в своем я уме, в своем! – прокричал он. – Да, я слышу твои мысли. Не смотри на меня, как баран на новые ворота! 
Он внезапно вскочил, а затем так же резко сел. Я вдруг начал понимать, о чем он говорит. 
— Э-э-э... ну... я шел к остановке, вдруг на меня выехала машина, чуть не сбила, но я успел отскочить и пошел дальше. 
— А-а-а, — протянул он и расслабился. – Так вот в чем дело. 
— Что? О чем речь? 
— Ты умер, Санька. Как ни прискорбно и ни странно говорить, но ты умер. Тебя машина сбила. А сейчас я разговариваю с твоей душой. Ты думаешь, что ты жив, но на самом деле то, как ты увернулся от машины – галлюцинация. 
Сказать, что я удивился – ничего не сказать. Умер? Душа? Что? 
— Нет, это не бред, поверь мне! – воскликнул он и, нагнувшись к моему уху, прошептал: — Скажу тебе по секрету, здесь все мертвые. 
Если бы я что-то пил или ел, я бы уже давно этим подавился. Пока я переваривал в голове то, что только что услышал, Кеша выпускал одно колечко дыма за другим. 
— И что?.. Прям все-все мертвые?.. – едва слышно прошептал я. 
— Прям все-все, — согласился он. 
— Эх... 
Я перевел взгляд на сидящих рядом женщину и четырехлетнего Игорька. 
— И они?.. – прозвучал мой голос, и я, мотнув головой, указал на них. 
— И они, — грустно произнес Кеша. – Жаль, конечно, но... 
— Но что? 
— Но только она сама это сделала. У нее долги, обязательства, тяжко ей. А сынок у нее один из всех остался. Терять нечего. Решила и на себя, и сразу на сынка руки положить. 
Я бросил взгляд на несчастную женщину. И правда, изрезанные руки тряслись, лицо, покрытое маленькими пятнами, чем-то походило на звериное. Вдруг ее взор, дикий, посмотрел на меня. И не увидел. Рассеянное внимание, ничего не замечает. 
А маленький мальчик сидел у нее на руках и играл с какой-то крошечной синей машинкой. Эх, бедное дитя. В чем же ты виновато?!.. 
— Ни в чем, — тут же поступил ответ. – А вот его мамаша за убийство невинного ребенка здорово поплатится. Спроси ее, какой номер ее остановки. 
— Женщина?.. 
Я дернул ее за руку. Резко рассеянный взгляд стал четко сфокусированным. 
— Что Вам, молодой человек? 
— Вы на какой остановке выходите? Кажется, приедем скоро. 
— О, можете не беспокоиться. Мне еще долго ехать. Моя остановка — А-19, если Вам так интересно. 
Я отвернулся, а женщина вновь уставилась в окно. 
— Вишь? – спросил Кеша. – А-19! Расшифровывается, как девятнадцатый вход в Ад. 
Меня передернуло. 
— Ад? То есть мы едем в Ад? И я туда же?.. 
Как-то искренне мне не хотелось в Ад. 
— Да ладно тебе, расслабься. Это она едет в тот самый Ад, где страшные муки, терзания, и все такое. А, например, ее сынишка едет на остановку Р-15. 
— Рай, пятнадцать? 
— Именно! Всего входов и в Рай, и в Ад двадцать. Чем старше номер, тем или лучше, или страшнее, соответственно. Но, как правило, в Ады с тринадцатого по двадцатый самые отпетые попадают. Не боись! 
— А я куда?.. 
— А ты... 
Он взял билетик из моей руки и сказал: 
— Смотри же, черным по белому: Р-3 с пересадкой на А-1. 
Иннокентий посмотрел на меня так, будто рассказал, сколько букв в алфавите. Т.е. будто ничего сложного в его речи не прозвучало. 
— И?.. – спросил я. 
— И, и... Что и? Сначала в первый вход в Ад, помучаешься, что тогда соседку свою, Матрону Дмитриевну, старой каргой назвал, и отправишься в свой Рай. 
Я стал возмущаться по поводу того, что Матрона Дмитриевна и правда была женщина немолодая и сварливая, и вполне заслуживала такого именования, но фраза «Небесному суду виднее!» остановила все мои порывы. 
— Да ты не переживай, — начал Кеша, — не один ты здесь сразу в два пункта едешь! 
Он небрежно указал пальцем на мужчину лет сорока, низкого, невзрачного, с толстыми линзами в очках, на коленях у которого стоял портфель. Мужчина то и дело поглядывал на часы. 
— Видишь его? Угадай с трех раз, куда торопится? 
— На работу? 
— Именно. Офисный клерк. Сидит и думает, — в этот момент едва заметный шепот мужчины и слова Кеши стали звучать в унисон, — «И почему этот автобус едет так медленно? Нельзя ли побыстрее, уважаемый? Так. Отчеты взял? Взял, да. Сам собирал. Ах. Эх. А планиро... Взял, да. А?.. Да, и его тоже. И почему так долго? Я опаздываю на совещание! И почему мне никто не звонит? А что, если... Да нет, не может быть, я все тщательно спланировал. А вдруг... Вдруг они поняли, куда пропали те пятьдесят тысяч? А вдруг кто поймет, откуда у меня вдруг деньги появились? А вдруг?.. 
И вся голова клерка была занята подобными мыслями. 
— Своровал, поэтому тоже в Ад, — вынес вердикт Кеша. — Но пошибче, чем у тебя будет, уже не первый вход, а пятый. Посерьезнее. А потом отмучается, и тоже в Рай. Скудный Рай первой степени. Будет вновь сидеть на работе своей, в Раю. Ему ведь не нужно ничего другого, у него ничего и нет. Жены нет, детей нет... А мама ему уже и так надоела, не для Рая она. А, да, и за надоедание тоже помучается в Раю наш мужичок. 
Я усмехнулся. Почему-то меня вдруг разобрало безумное любопытство. 
— А как он умер? 
— Он? А... Да на него кирпич упал из окна. Путь хотел срезать, пошел через стройку. Там на него и... Хоть смерть оригинальная, да. Ведь скучный он до ужаса. 
Кеша оказался удивительно циничным. Глядя на него, невозможно было сказать, что этот «гопник» мог так рассуждать и выносить приговоры. 
Вдруг парень встал, открыл форточку, выкинул туда окурок своей сигары и присел назад. 
— Кеша, — тихо сказал я. 
— Чего тебе? 
— А расскажи еще про кого-нибудь! 
— Весело тебе? 
— Ну... так... интересно... 
— Ну, чтобы особенно над чужими смертями не смеялся, вон, — он показал рукой на другого молодого человека, усердно что-то набиравшего на телефоне, — смотри. Видишь? 
— Тот, что с телефоном? 
— Да, он самый. 
Я перевел взгляд с парня на Кешу и обратно. 
— В отличие от клерка, по этому пареньку немало слез-то прольется. Видишь, он набирает что-то? С девушкой своей переписывается... 
— Я не знал, что тут есть связь, — промямлил я. 
— А ее и нет. А интернет с перебоями, да ловит. Знаешь, почему? Потому что ему еще рано умирать. 
— Че-т как-то... нелогично... – смутился я. 
— Ну смотри: с тобой все понятно, тебя машина сбила. Не растяпивай глазенки, ежу понятно, что машина сбила. А он... А он в поезде сейчас. Через пару минут поезд с рельс сойдет. Паренек появился здесь, как только в поезд сел. Тогда, когда гибель стала неизбежна. А пока он еще в поезде, там даже ловит что-то, некие остатки интернета и связи. 
Вдруг парень вскочил на ноги и вытянул руку вверх. 
— Вишь? – продолжил Кеша. – Поезд сошел. Пропала связь. Не дождется она... 
— Она? 
— Паренек-то к даме своей ехал. Да вот не доехал... 
— И что теперь? 
— Что, что... Все просто. Или она появится здесь через несколько часов, или через несколько лет. Вслед за ним, или жизнь проживет. Прозаично, не правда ли? 
Я несмело кивнул. 
Вдруг автобус остановился. 
— Смотри, ща мясо будет, — восторженно воскликнул Кеша. 
Меня удивила его фраза и «прошаренность», но ничего говорить я не стал. 
В салон автобуса вошла еще одна женщина, лет пятидесяти-пятидесяти пяти. 
— Билетики предъявляем, — произнесла она. 
— Кто это? – спросил я. 
— Контролер! Проверяет, всем ли соответствуют их билеты. 
В этот момент контролер подошла к молоденькой девушке, лет семнадцати, не больше. Огромная копна седых волос девушки была увенчана небольшими кошачьими ушками. 
— Смотри на нее, смотри! – воскликнул Кеша, с упоением наблюдавший за всем происходящим. 
Женщина посмотрела на девушку. 
— Мадемуазеля, — произнесла она. – Поднимите голову вашу! 
Девушка подняла большие глаза. Линзы делали их еще больше, кольцо в губах придавало какой-то поражающий вид. 
— Встаньте, мадемуазеля. 
Девушка встала с сиденья, вышла в проход. 
— Смотри, картинка! Берцы, колготки в сетку, цепи, кожа, миниюбка, майка с вырезом до середины живота!.. Ух!.. Люблю, когда такие попадаются. Редкий случай! 
Я стал так же внимательно смотреть за действиями двоих. Женщина смерила презрительным взглядом девушку, вырвала из ее рук билет, где красовалось «Ад-2, Рай-2». 
— Девушка, Вам не положено в Рай. Вас не пустят. 
— Что? В смысле? 
— Вид неподходящий! 
Женщина достала из сумки печать, дыхнула на нее и прижала к билетику, после чего спокойно пошла дальше. 
— И?.. Что теперь?.. – не понимал я. 
— И теперь у нее написано на билетике «Аннулировано». То есть будут переопределять ее судьбу. Вид, конечно, странный фактор, но это Рай, туда в таком образе не пустят. 
Я хмыкнул. Даже здесь униформа. 
Медленно, одного за другим, контролерша проверила у всех билетики. Мой отчего-то тоже вызвал у нее вопрос, но, глянув на Кешу, она кивнула и вернула мне бумажонку назад неизменной. 
В конце концов проверены были все. Кроме Иннокентия. Остановившись на какой-то неведомой остановке, автобус отпустил контролера в свободное плавание. А мой сосед так и остался непроверенным. 
— А почему она на тебя не стала смотреть? 
— А что ей проверять меня? Я здесь не первый раз. 
— Как это? – удивился я. 
— А ты думаешь, откуда я столько знаю про все эти станции, билеты, мысли людские читаю к тому же? Я... как бы тебе объяснить... некто вроде Харона... Провожаю людей в мир иной, так сказать, слежу за порядком. Контролерша и кондуктор – они как куклы. Ходят, чтобы меня не было заметно. 
— Они тебя не видят? – я указал рукой на всех сидящих. 
— Видят. Но не замечают. А за тебя платить пришлось, вот я и «ожил». Попал в поле зрения. 
— Хм, неплохо, неплохо, — усмехнулся я. 
— Вот такая профессия. На самом деле, это мама с батей пристроили, я б сам сюда ни за что б не попал. 
— А кто твои родители? 
Кеша хмыкнул. 
— Сам как думаешь? Мама – Сатана, папа – Бог. Все логично. 
Он пожал плечами. Вдруг я схватился за голову. Немыслимая боль дробила ее надвое. 
— Тихо! Что с тобой? 
Кеша подскочил ко мне. 
— Что? Голова? 
Вдруг он сделал шаг назад в растерянности. 
— Неужели? Да ладно? У тебя получилось? 
— Что? – проорал я. 
Все завертелось перед глазами. «Остановка А-1», — было последним, что я услышал. 
 
*** 
 
— Берегись! – прокричал кто-то со спины, когда я едва увернулся от наезжающей машины. 
Спасен! Жив! Все-таки получилось! Вот, о чем он говорил! 
Я вдруг задрожал, а затем, успокоившись, уверенно пошел дальше. 
Смс-ка. От сестры. Она жила в другом городе, чуть ли не в тысяче километров от меня. «Привет, Сашка! Представляешь, ко мне сегодня Вадим приедет! Я так ждала, так ждала! Эх, Санька, я так рада! Лови фотку!». Дальше следовала прикрепленная фотография, где моя сестра была изображена с каким-то молодым человеком. Собственно, секундного размышления хватило, чтобы узнать в нем того самого парня из автобуса, что «должен был ехать на поезде». 
«Вызов: Сестра». 
— Алло, Катя? Катя! Быстрее! Не спрашивай, зачем или почему! Просто слушай и делай, что говорю! Меняйте бегом билеты на ваш дурацкий поезд! Не спрашивай, откуда знаю про поезд! Просто! Вадим твой не должен на нем ехать! Сама спасибо скажешь! Быстрее! 
Через пару минут пришел ответ все той же смс-кой (Катя отчего-то предпочитала общаться именно письмами): «Хорошо. Поменяно. В последнюю минуту. Взял на попозже. Что такое случилось?». 
Через час узнаешь, Катя, что же такое случилось. А точнее, случится. 
 
Между тем я быстро подошел к остановке. Толпу усердно расталкивал какой-то маленький невзрачный мужчинка. 
— Стойте! Вы! Вы папку забыли! И я знаю, откуда у Вас деньги! 
Мужчина остановился и, обернувшись, стал искать источник крика. Думаю, прошло достаточно времени, чтобы кирпич пролетел раньше и не попал ему на голову. Ну и хватит с него. Не найдя кричавшего, мужчина развернулся. Прямо перед его носом захлопнулись двери автобуса. 
Но мой путь лежал дальше. «Дойду до следующей остановки, не перетружусь», — думал я и шел дальше. 
— Эй, пацан, стой! – окликнул меня сзади кто-то. Я обернулся. Парень с длинной челкой, закинутой набок, в огромной спортивной куртке, джинсах клеш и с темными круглыми очками на носу, двигался ко мне уверенным шагом. Подойдя ко мне, он знакомым голосом спросил: 
— Библиотека имени Ленина здесь недалеко? 
— Метров триста налево, потом направо и через дом, на углу, будет она, — рассказал я. 
— Спасибо, пацан. По-братски выручил! А то уже плутаю тут битый час, все никак не найду. 
Я улыбнулся. 
А вон и остановка! И автобус, что интересно, сразу подъехал нужный. Я сразу же запрыгнул в него и, провернувшись вокруг поручня, приземлился на сиденье у двери. Вон, спереди сидит та седоволосая... 
— Молодой человек, передайте за проезд, пожалуйста, — сказала мне женщина с маленьким ребенком на руках, протягивая три монетки. 
— Это вы! Я вас искал! Помните, как бы страшно и тяжело ни было, все можно пережить. Жизнь идет, жизнь меняется. Как бы что ни казалось безвыходным, помните, что выход есть всегда! 
Она изумленно посмотрела на меня. 
— Передайте... пожалуйста... – пролепетала она, не отрывая от меня глаз. Я передал деньги подошедшему кондуктору и вернул женщине билет. 
— Платите, молодой человек, — прозвучал надо мной грозный голос. 
— Сколько? – спросил я, подняв глаза на эту полную женщину. 
— Пятнадцать. 
Я полез в карман. Пять монет: десять, два, два и пара по пятьдесят копеек. В аккурат. 
В моей руке очутился маленький кусок бумажки: 237408. 
Счастливый.",https://vk.com/wall-176411259_150635
1,"Женщины, которых следует избегать, если ты ищешь отношения: 
1. Имя начинается на букву ""А"". 
2. Девушки, которые занимались селфхармом. 
3. Девушки с расстройствами пищевого поведения. 
4. Девушки, у которых больше 5 бывших. 
5. Рыжие. 
6. Бисексуалки. 
7. Женщины увлекаются «традиционными» мужскими вещами, такими как гитара и видеоигры. 
8. Женщины, которые ноют и постоянно пытаются казаться жертвами. 
9. Одинокие матери. Обычно это паршивые мамы и паршивые подружки одновременно. 
10. Белые девушки, которые были с ниггерами. 
11. Женщины, которые (возможно, неосознанно) ищут папика. 
12. Девушки, которые заботятся о своих друзьях больше, чем об отношениях. (обычно это заметно уже на первом месяце общения) 
13. Женщины, которые не вылазят из телефона, даже когда она на свидании с тобой. 
14. Женщины, которые слишком сильно полагаются на советы своих подружек и своей матери. (кажется, для некоторых женщин это единственный настоящий друг) 
15. Женщины, которые одержимы своей внешностью (постоянное наращивание ногтей; окрашивание или стрижка волос; солярий; пластические операции на груди, губах и т. Д.) 
16. Женщины класса Б (антисоциальные, нарциссические, гистрионические, пограничные расстройства личности). Зачастую они заметны по остальным перечисленным чертами 
17. Женщины с нелеченными и нестабильными психическими заболеваниями (СДВГ, депрессия, тревожные расстройства и т. Д.) 
18. Женщины, которые слишком молоды и незрелы, чтобы принимать реальные и долгосрочные обязательства (и после этого придерживаться своих обещаний) 
19. Женщины, которые одержимы рождением ребенка, до такой степени, что мужчина является просто донором спермы и не более того 
20. Женщины с членом",https://vk.com/wall-176411259_150576
2,">2 часа назад 
>занимаюсь аналом с 9/10 тянкой в первый раз за несколько лет 
>feelsgoodman.jpg 
>наслаждаюсь примерно 10 минут пока не чувствую инородный объект в жопе тян 
>обоженет 
>вытаскиваю хуй 
>ожидаю что он будет покрыт говном 
>неа 
>ёбаный ленточный червь обёрнут вокруг хуя 
>чувствую как он сжимает мой хуй, пытаясь залезть обратно в жопу тянки 
>пытаюсь не блевануть и не вытянуть его до конца 
>тян спрашивает ""анон почему ты остановился""? 
>видит червя 
>у неё начинается ёбаная паническая атака 
>начинает орать заблёвывать и обсирать всю мою простыню 
>о боже запах 
>родители врываются и видят нас обоих голыми покрытыми блевотой и говном и червём торчащим из её жопы 
>мать теряет сознание 
>батя блюёт 
>вызывает 911 
>скорая приезжает и забирает тян 
>родители идут обратно в кровать 
>проводим оставшуюся ночь делая вид что ничего не произошло 
>сплю внизу на диване, не думая о том чтобы почистить одеяло 
>не могу спать",https://vk.com/wall-176411259_150497
3,"ПОЧЕМУ ВКОНТАКТЕ ПИДОРАССКАЯ СЕТЬ ДЛЯ ПИДОРАСОВ И ДАУНОВ? НУ..

Привет) На связи Валентин Нулифаер. Дорогие друзья, вы часто пишите мне/в комменты что-то в духе: 
""Нулисраер, где пасты про гавно??"" И этих сообщений так много, что я решил отдельным постом высказаться по этому поводу. Пидорокапиталистическая корпорация в лице мейл груп, ныне владеющая Вконтатке, скручивает, душит и просто бьет по яйцам такому направлению контента. Группы которые постят какой то текст, если это не крупные сообщества, попадают в скрытый пул и купорятся в потоке контента. Глупые картинки с глупыми надписями набирают больше охвата, даже если сообщества меньше 100к паблика в 10 раз. Так же по моим наблюдениям, ВК занимает или нейтральную позицию или за ЛГБТшную(запрещено законом) сторону, а по сему, если ты любишь свою Родину, если ты уважаешь классические ценности - ты будешь забанен(пример моя основная страница).

 Но выход есть, я не бросил дело для которого был рожден. Ваши любимые пасты про говно активно постятся и обсуждаются в моем телеграм канале, там кстати уже почти 7к сабов. Я оставлю ссылку в комментариях к этому посту, т.к. если оставить её тут по ""магической случайности"" пост соберет меньше цифр, а как же так получается блин?)",https://vk.com/wall-176411259_150225
4,"Сегодня решил поделиться историей, которая хоть была и давно, но помню я ее как вчера. В общем это было 3 года назад и тогда я познакомился с очень интересной, веселой и красивой девушкой. Не знаю, что ее во мне привлекло, но мы начали гулять и, можно сказать, встречаться. Короче, гуляли мы так примерно недели 3, а потом, т.к. это было начало лета и дачный сезон в самом разгаре, ее родителя уехали и все шло как может показаться по клише и в итоге мы потрахались, но нет. В один из прекрасных летних вечеров мы гуляли, целовались и по итогу проводя ее до дома она предложила зати к ней. Ну я не стал отказываться, все равно дома делать нехуй, а тут еще и перепихон может быть. Одни плюсы, как мне показалось на тот момент. Когда я зашел в не квартиру я немного прихуел. Там был очень крутой евроремонт и огромный аквариум на литров 800, который позже сыграет свою роль. Квартира была 4х комнатная и я пошел смотреть что тут и как. Обойдя зал я решил зайти в ее комнату. Она в принципе не имела в себе чего-то особенного, кроме кровати. Когда я на нее лег, я понял что у нее водный матрас. Сразу в голову полезли мысли на счет ебли на этом нечто. Я почему-то подумал, что он возьмет и наебнется, если на нем кого-то интенсивно поебывать. Но мои мысли прервал ее голос, который позвал меня на кухню. Идя туда я снова посмотрел на аквариум и как будто услышал внутри себя голос: ""Будь осторожен"". Ну я особо не придал этому значения и пошел дальше. Когда я зашел в кухню я увидел чай на столе, какой-то тортик, который сделала она. Ну мы начали говорить, я похвалил ее торт, который и в правду был вкусный, но немного странным. Я опять же не предав этому значения съел практически весь. Так мы сидели еще минут 15 и тут произошел переломный момент. И не только в этой истории, но и в моей жизни. Я услышал как открывается дверь. Я спросил у тни ждет ли она кого, но она ответила нет. Мы пошли в прихожую и я увидел какого-то мужика лет 55+, но достаточно такого энергичного и активного. Тня побежала к нему обниматься. Я сначала подумал, что это батя вернулся, но почему он один тогда. Оказалось что это ее дедушка. Он типо после пробежки вечерком решил проведать как она тут Мы пожали с ним руки и дед, осмотрев меня с головы до ног ответил: ""Ой, ну и хорошего парня ты себе нашла. Вроде спортсмен, да и по лицу не скажешь что распиздяй, хаахааах"". В этот момент я понял, что дальше либо будет пиздец, либо мне лучше съебаться. Как вы поняли, раз я это пишу, уйти была не судьба. Тня начала расказывать какой я хороший, а дед с довольным ебалом слушал, но ему видимо стало скучно и он начал действовать сам. Встав со стула он полез за какую-то тумбочку и достал бутылку чего-то и сказал: ""Ну что, сычуш, ты пьешь? Или как?"" Услышав отрицательный ответ он не растерялся и сказав: ""Ничего, сейчас начнешь, зпхахаха!"" Достал 2 стопки. Спросив будет ли пить тня он ответил что-то типо это зелье она не оценит. Тогда я понял, что это проверка на прочность или что-то типо вызова. Во мне разыгрался дух соперничества и мы начали пить. Первая рюмка пошла хорошо, да и пойло было неплохое. Он начал распрашивать кто я есть и чем занимаюсь, что думаю делать в будущем, кем родители работают и всякие стандартные вопросы. Выпив уже пол бутылки я начал понимать, что это была бомба замедленного действия и меня начало разносить, но сдаваться я был не намерен. Посмотря в глаза тян, ну или близко к ним, тогда я хуй понимал куда направлен мой взор, все плыло нахуй, я словно увидел табличку: Хвати, ты же сам понимаешь, что хорошим это не кончится. Но мне было похуй. Какой-то левый дед кинул мне вызов и раз я его принял, то я хоть в блевоте и говне проснусь, но выиграю. Допивая бутылку я решил пойти поссать. Спросив где у них санузел я двинулся прямиком туда. Найдя комнату и открыв дверь я увидел раковину и пошел умыться. Увидев отражение своего ебла я подумал, а может сдаться и уйти. Эта мысль ушла спустя секунд 10 и предварительно стукнув по полке я пошел ссать. Тогда и 
началась работа механизма под названием ""Пиздец"". Сперва я из-за пойла начал ссать мимо, потом на ободок, откуда капли летели на мои штаны. Поняв, что я делаю что-то неправильно, я решил сесть на сральник. Это была неплохая идея, но реализация подвела. Повернувшись я начал присаживаться и подскользнулся на своей же моче. Упав я ударился спиной об тот злосчастный ободок наебнулся на пол и ударившись об стойку с бумагой, освежителем воздуха обосрался, но не в штаны, а прямо на пол, т.к. они слетели. Тогда я подумал слава богу, что не в штаны и решил убрать говно ершиком. Да, я не знаб как это вообще можно сделать, но тогда мой мозг решил что это самый лучший вариант. Начав ""убирать""(давить) говно ершиком, я услышал как кто-то подошел к двери. Испугавшись я начал брать говно руками и кидать в унитаз. За дверью оказалась тян. Она спросила все ли хорошо и как скоро я выйду а то деду плохо. Промычав что-то типо ага ща выйду я продолжил заниматься собирательством. Так как говно было жиденькое я засрал свою рубашку и решил ее смыть. 2я гениальная идея. Закинув в сральник рубашку с говном я нажал на смыв и что же могло произойти. Он засорился. Вода начала подниматься и я резко засунул руку в говноморе и начал пытаться достать рубашку. Мне повезло и я ее достал. Говно отошло, от сердца отлегло и я немного успокоился. Постояв секунд 30 и позалипав в потолок я решил закинуть мокрую с кусками говна рубашку в корзину для белья. Правда я положил для чистого, но мне было похуй. Из-за этого пойла я бы и мать родную не узнал и этой рубашкой придушил, лишь бы никто не узнал об этом. Помыв руку под душем я вышел из сортира. Решив, что бартер был преодолен я отправился на кухню. Там никого не было. Тогда послышался крик из зала. Забежав туда я увидел тню и сидящего с какой-то железкой деда. Спросив что происходит, тня обернулась и спросила что я там блять делал. Я сказал что живот прихватило, вот и задержался. В этот момегь я механически полез рукой в карман и почувствовал что он весь мокрый. Посиотрев на себя я увидел что правая часть моей майки и штанина полностью мокрые и в говне. Дед поднял голову, начал смеяться как ебанутый и кричать на меня, что я спиздил кольца или серьги какие-то, я уже не помню. И начал идти на меня с этой железякой. Я хоть и был в неадеквате, но то время что я проходил на боевые искусства в детстве и подростковом возрасте дали о себе знать. Уйдя от его вялого удара, который угодил в шкатулку с ожерельями, я пробежал до того аквариума. Дед развернувшись кинул в меня эту хуйню и как вы думаете куда он попал? Нет, не в аквариум, а в ебаную полку с какими-то наградами по типу медалей и кубков, которая держалась на соплях видимо. Она начала странно пошатываться и проломилась блять у крепления. Все полетело на крышку аквариума, разьебало ее в щепки. Кубок в виде мужика держащего что-то уебался в боковую стенку и сломал лампу, арматура разьебала светильник рядом. Но вишенка на торте это сама полка и какой-то кубок странной формы, которые пробили аквариум. Вы когда-нибудь были на море? Вот я да. Тогда все те 800 литров, хлынувшие на всех нас, напомнили мне о поездке в Турцию. Солнышко, песочек, море, прекрасные закаты, великолепные рассветы, кукурузка соленая, пахлава ммм. Спустя секунды флешбека я понял, что все квартира нахуй в воде. Я лежал у двери, дед видимо уебался головой и у него из плеча торчала какая-то хуйня. Его тушапросто плавала как говно в ее комнате, а тян на кровати рыдала и мне тогда так стало ее жалко. Я хотел подойти обнять ее и сказать, что все будет хорошо, но я не мог встать, да и ситуация была не та где все хорошо кончится. Я попытался что-то сделать но потерял сознание. Я тогда уебался об угол тумбочки, как оказалось. Проснулся я уже в больнице. После этой ситуации я наведался к ней и начал извиняться за все и говорить какой я еблан. Она не винила меня и я хоть немного был рад после этого. Она рассказала что дед остался жив и ему пиздец как повезло тк он влетел в шкаф со стеклянными дверями и кусок 
чуть ему в шею не попал. Вообще он тогда на меня напал, потому что решил, что я спиздил серьги/кольцо которые бабушка подарила тянке и в ломбард их сдам. Мы с тней продолжили общаться и я её выебал на этом матрасе. Было прикольно.",https://vk.com/wall-176411259_149791
